curve,abscissa,value
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.26,1.60994362448
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.27,1.62710303628
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.28,1.64414179084
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.29,1.66105843456
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.3,1.67785145347
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.31,1.69451927089
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.32,1.71106024483
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.33,1.7274726652
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.34,1.74375475082
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.35,1.75990464621
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.36,1.7759204181
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.37,1.79180005167
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.38,1.80754144658
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.39,1.82314241257
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.4,1.83860066484
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.41,1.85391381897
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.42,1.86907938549
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.43,1.88409476402
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.44,1.89895723691
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.45,1.91366396238
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.46,1.92821196705
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.47,1.94259813794
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.48,1.9568192136
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.49,1.97087177471
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.5,1.9847522336
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.51,1.99845682302
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.52,2.01198158374
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.53,2.02532235108
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.54,2.03847474008
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.55,2.05143412926
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.56,2.06419564277
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.57,2.07675413063
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.58,2.08910414704
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.59,2.10123992626
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.6,2.11315535587
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.61,2.12484394711
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.62,2.13629880166
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.63,2.14751257465
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.64,2.15847743304
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.65,2.16918500892
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.66,2.17962634673
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.67,2.18979184355
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.68,2.19967118124
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.69,2.20925324906
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.7,2.21852605502
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.71,2.22747662395
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.72,2.23609087975
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.73,2.24435350863
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.74,2.25224779963
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.75,2.25975545731
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.76,2.26685638073
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.77,2.27352840075
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.78,2.27974696572
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.79,2.28548476248
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.8,2.29071125565
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.81,2.29539212239
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.82,2.29948855219
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.83,2.30295636988
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.84,2.30574492375
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.85,2.30779565717
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.86,2.30904024539
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.87,2.3093981237
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.88,2.30877314431
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.89,2.30704895302
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9,2.30408242922
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.91,2.29969409203
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.92,2.2936535547
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.93,2.28565648491
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.94,2.27528607329
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.95,2.26194395975
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.96,2.24471443997
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.97,2.22206057325
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.98,2.19099459763
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.99,2.14382751853
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.99,2.14382751853
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9938103418,2.11665767367
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9961688132,2.0939281004
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9976286263,2.07521770309
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9985322007,2.05998972289
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9990914824,2.0476973167
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9994376587,2.03783444189
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9996519299,2.02995666491
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9997845565,2.02368596964
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9998666479,2.01870754689
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999174596,2.01476301954
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999489103,2.01164252107
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999683772,2.00917687835
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999804266,2.00723048949
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999878847,2.00569512351
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999925011,2.00448467469
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999953584,2.00353080937
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.999997127,2.00277940138
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999982217,2.00218764159
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999988993,2.00172171053
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999993187,2.00135491461
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999995783,2.00106619938
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.999999739,2.0008389673
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999998384,2.00066013993
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.9999999,2.00051941523
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.6,0.194999646561
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.595,0.19417328545
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.59,0.19335020582
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.585,0.192530427661
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.58,0.191713971157
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.575,0.19090085668
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.57,0.190091104794
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.565,0.189284736257
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.56,0.188481772019
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.555,0.187682233222
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.55,0.186886141207
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.545,0.186093517507
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.54,0.185304383851
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.535,0.184518762165
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.53,0.183736674572
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.525,0.182958143393
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.52,0.182183191144
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.515,0.181411840543
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.51,0.180644114503
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.505,0.179880036137
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.5,0.179119628757
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.495,0.178362915874
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.49,0.177609921196
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.485,0.176860668633
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.48,0.17611518229
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.475,0.175373486474
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.47,0.174635605688
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.465,0.173901564635
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.46,0.173171388213
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.455,0.172445101519
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.45,0.171722729845
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.445,0.171004298681
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.44,0.170289833708
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.435,0.169579360806
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.43,0.168872906044
"Omega_n(m), W=sigma-10 sigma^2, kF=1; abscissa m",-0.425,0.168170495686
